method,horizon,age_bucket,n_total,rmse,mae,bias
538-linear,1,24-27,3274,4.634507438625824,3.610219393426093,-0.627641314883937
538-linear,1,28-31,2245,4.316070862665911,3.3354981980404346,-0.6620897593469225
538-linear,1,32-35,877,3.88983286838278,3.10212532895838,-0.7880751499326771
538-linear,1,36+,136,3.449840259913281,2.743180223916645,-0.28064496676110956
538-linear,1,<=23,2425,5.0631769964215865,3.961868646934479,-1.0116991423467812
538-linear,2,24-27,2950,5.636931150128884,4.406065109832501,-0.7689926946468728
538-linear,2,28-31,1913,5.231413080172935,4.096787017549594,-1.0457304575506337
538-linear,2,32-35,661,4.675241418071971,3.6528570405925587,-0.9344022256117774
538-linear,2,36+,45,4.524856638071999,3.466636845395728,0.7227262563788924
538-linear,2,<=23,2180,6.45743998817465,5.08584377079826,-1.3344849986174938
538-linear,3,24-27,2711,6.100488304974351,4.76203564990101,-0.9275001210020236
538-linear,3,28-31,1596,5.677627368748813,4.513350959299283,-1.2427584145348878
538-linear,3,32-35,460,4.990086852567322,3.9329356965727897,-0.9990306823688685
538-linear,3,<=23,2024,7.27497924562353,5.752295826189278,-1.4234775431068154
538-linear,4,24-27,2472,6.5763222026471695,5.15444030343959,-0.8195151751242444
538-linear,4,28-31,1256,6.111968591043274,4.822528347305534,-1.5957843575229
538-linear,4,32-35,303,5.290910666734617,4.212274726450402,-0.8771056095075045
538-linear,4,<=23,1896,7.815268139633336,6.175857450873296,-1.473641412371143
538-linear,5,24-27,2171,6.842768406427838,5.382289173050525,-0.9785208569923993
538-linear,5,28-31,969,6.187130531883795,4.891945550170388,-1.774347668660748
538-linear,5,32-35,137,5.6758186117504374,4.435487224698871,-1.4521606690016993
538-linear,5,<=23,1752,8.147687058000061,6.387306798761859,-1.6729010407592624
538-squared,1,24-27,3274,4.634532186129443,3.6152203424229263,-0.5962042272151057
538-squared,1,28-31,2245,4.318115757992796,3.337922216753341,-0.6518368629911594
538-squared,1,32-35,877,3.897803907185441,3.1016232637599623,-0.7834135258957935
538-squared,1,36+,136,3.485770490672915,2.7569672210739067,-0.27912861670531536
538-squared,1,<=23,2425,5.063799893229585,3.962740276831193,-1.003288236179424
538-squared,2,24-27,2950,5.625811041003527,4.396118503582403,-0.7132364624084236
538-squared,2,28-31,1913,5.228323084361307,4.092662852266691,-1.0104631716582493
538-squared,2,32-35,661,4.706637246881613,3.6741131710185226,-0.9736466173796869
538-squared,2,36+,45,4.610725633794288,3.43667388727291,0.7601711266541182
538-squared,2,<=23,2180,6.452278943590022,5.08549738834446,-1.3297701009860352
538-squared,3,24-27,2711,6.086043129614104,4.752735667604679,-0.8509158938969885
538-squared,3,28-31,1596,5.692524535125485,4.524748174338019,-1.2056302334974862
