method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
SPS,1985,1,24-27,92,4.441797734214241,3.48653495199549,-0.12337027757559574,4.4400841080188655
carmelo-linear,1985,1,24-27,92,4.641465940537277,3.675877680564398,-1.1118055714067718,4.506339362337955
carmelo-squared,1985,1,24-27,92,4.66170803412572,3.6977414687759764,-1.1298916652613653,4.522705674726709
538-linear,1985,1,24-27,92,4.622738107432968,3.6906362183860564,-0.2986325680858998,4.613082071586344
538-squared,1985,1,24-27,92,4.746970926644228,3.7667416594455587,-0.2644849171938528,4.739597103866796
SPS,1985,1,28-31,60,3.8871681428717015,3.0143959178164326,1.080624701985038,3.733942477384512
carmelo-linear,1985,1,28-31,60,3.7591782424125406,3.1456271488559153,0.07474944160198231,3.758434990685356
carmelo-squared,1985,1,28-31,60,3.761796653586543,3.1517054927105383,0.10533373035410286,3.760321644245955
538-linear,1985,1,28-31,60,4.125763884329732,3.3035045604524624,-1.3187737443161747,3.9093175159536293
538-squared,1985,1,28-31,60,4.287596983210267,3.4066108056548954,-1.3749655322916399,4.061152259574091
SPS,1985,1,32-35,12,4.176039054247244,3.7703334901013292,3.290330861218082,2.571580254690507
carmelo-linear,1985,1,32-35,12,2.7069893181510323,2.261578809594386,1.0047761202707342,2.5136061976207578
carmelo-squared,1985,1,32-35,12,2.73581883214222,2.2709539546266697,0.9689875141271393,2.5584698317099086
538-linear,1985,1,32-35,12,2.795166701072634,2.0090719918146553,-0.7404500755174289,2.6953089938727812
538-squared,1985,1,32-35,12,2.925276885935511,1.940602285021014,-0.9586220125900703,2.763745410917279
SPS,1985,1,<=23,43,4.5142186282740075,3.5687759811911857,-1.579623114527954,4.2288249715382005
carmelo-linear,1985,1,<=23,43,4.403735169522562,3.45956786726032,-1.629101683817116,4.091321442648346
carmelo-squared,1985,1,<=23,43,4.39421492445162,3.4411689221532,-1.6346622322882347,4.078848389999781
538-linear,1985,1,<=23,43,4.463887690450261,3.597561298682048,-1.290508588972369,4.273275195297152
538-squared,1985,1,<=23,43,4.517879040147004,3.679713652219163,-1.1995401194163202,4.355724339683389
SPS,1985,2,24-27,87,6.099758042842959,4.9678431029274215,0.6597398799166446,6.063974890455511
carmelo-linear,1985,2,24-27,87,6.341808496036355,5.273925008827249,-1.4747488389726773,6.167953539250084
carmelo-squared,1985,2,24-27,87,6.3484058044327165,5.276060684309445,-1.490663784589535,6.17091384959053
538-linear,1985,2,24-27,87,6.072630108514741,4.874773125864169,0.13646760499625174,6.071096525968463
