player_id,player,age,pos,draft_pick,ts_pct,ft_pct,usg_pct,x3_freq,ft_freq,ast_pct,tov_pct,trb_pct,blk_pct,stl_pct,draft_pct,ts_pct_rank,ft_pct_rank,usg_pct_rank,x3_freq_rank,ft_freq_rank,ast_pct_rank,tov_pct_rank,trb_pct_rank,blk_pct_rank,stl_pct_rank,actual_2018,actual_2019,actual_2020,actual_2021,actual_2022,actual_2023,actual_2024,actual_2025,ci_hi_y1,ci_hi_y2,ci_hi_y3,ci_hi_y4,ci_hi_y5,ci_lo_y1,ci_lo_y2,ci_lo_y3,ci_lo_y4,ci_lo_y5,proj_y1,proj_y2,proj_y3,proj_y4,proj_y5,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,x2p,x2pa,trb,mpg,season
gilgesh01,Shai Gilgeous-Alexander,26,POINT GUARD,11.0,,,,0.26268115942028986,0.40398550724637683,,,,,,71.0,50,50,50,18.0,91.0,50,50,50,50,50,,1795.5,2379.0,1395.0,2372.0,3360.75,3823.25,,59.56298263546782,58.70074866902789,57.64139697306239,55.95693823074726,53.692585452888025,39.70865509031188,39.1338324460186,38.4275979820416,37.30462548716485,35.79505696859202,49.63581886288985,48.917290557523245,48.034497477551994,46.630781858956055,44.74382121074002,76,76,2598,860,1656,163,435,601,669,67,312,486,131,77,183,164,2484,OKLAHOMA CITY THUNDER,697,1221,379,34.18421052631579,2025
edwaran01,Anthony Edwards,23,SHOOTING GUARD,1.0,,,,0.5031017369727047,0.3076923076923077,,,,,,100.0,50,50,50,63.0,76.0,50,50,50,50,50,,,,2284.5,2581.25,3280.0,3359.5,,50.63398377662537,50.93577414380773,51.00877039687861,50.862553363932875,50.50855155253006,33.75598918441692,33.95718276253849,34.005846931252414,33.90836890928858,33.6723677016867,42.194986480521145,42.44647845317311,42.50730866406551,42.38546113661073,42.09045962710838,79,79,2871,721,1612,320,811,415,496,61,389,359,91,51,249,150,2177,MINNESOTA TIMBERWOLVES,401,801,450,36.34177215189873,2025
jokicni01,Nikola Jokić,29,CENTER,41.0,,,,0.24266862170087977,0.33064516129032256,,,,,,17.0,50,50,50,16.0,81.0,50,50,50,50,50,3272.75,3757.25,3257.75,3946.5,4357.25,3872.75,4600.5,,67.25608218955253,64.06554241881354,60.306255418168,56.08520340419254,51.52259881585036,44.83738812636836,42.71036161254236,40.20417027877867,37.39013560279503,34.34839921056691,56.04673515796045,53.387952015677946,50.255212848473334,46.737669503493784,42.935499013208634,70,70,2571,786,1364,138,331,361,451,200,692,716,127,45,230,160,2071,DENVER NUGGETS,648,1033,892,36.72857142857143,2025
antetgi01,Giannis Antetokounmpo,30,POWER FORWARD,15.0,,,,0.047763457164518575,0.5360121304018196,,,,,,60.0,50,50,50,9.0,97.0,50,50,50,50,50,3815.25,4022.5,3597.0,3277.75,3773.0,3508.0,4194.25,,65.24466776901524,61.389203660930924,57.06579722327644,52.39746681596369,47.51416501130868,43.496445179343496,40.92613577395395,38.04386481551763,34.9316445439758,31.676110007539123,54.37055647417937,51.15766971744244,47.554831019397035,43.664555679969745,39.5951375094239,67,67,2289,793,1319,14,63,436,707,147,651,433,58,78,206,155,2036,MILWAUKEE BUCKS,779,1256,798,34.16417910447761,2025
tatumja01,Jayson Tatum,26,POWER FORWARD,3.0,,,,0.4969283276450512,0.3003412969283277,,,,,,94.0,50,50,50,60.0,74.0,50,50,50,50,50,2031.5,2312.25,2644.5,2822.5,3447.75,3700.75,3426.25,,56.684967098794445,56.108000059332625,55.32584516747561,53.92545186719987,51.946050777427914,37.78997806586297,37.40533337288842,36.88389677831707,35.95030124479992,34.63070051828528,47.23747258232871,46.75666671611052,46.10487097289634,44.93787655599989,43.2883756478566,72,72,2624,662,1465,250,728,358,440,48,575,431,76,38,209,157,1932,BOSTON CELTICS,412,737,623,36.44444444444444,2025
bookede01,Devin Booker,28,SHOOTING GUARD,13.0,,,,0.3880281690140845,0.3401408450704225,,,,,,64.0,50,50,50,37.0,83.0,50,50,50,50,50,2055.5,2686.75,2920.25,2531.25,2868.0,2276.0,3023.0,,51.99398710793938,50.75625352178402,48.96770071281851,46.683150750945146,43.974015860655776,34.66265807195959,33.83750234785602,32.64513380854568,31.122100500630097,29.31601057377052,43.32832258994949,42.29687793482002,40.806417260682096,38.90262562578762,36.64501321721315,75,75,2795,654,1420,183,551,432,483,76,229,529,67,16,220,198,1923,PHOENIX SUNS,471,869,305,37.266666666666666,2025
youngtr01,Trae Young,26,POINT GUARD,5.0,,,,0.46656976744186046,0.407703488372093,,,,,,87.0,50,50,50,51.0,91.0,50,50,50,50,50,,2924.75,2938.25,2790.75,3622.0,3324.75,2498.25,,55.36187253397947,54.807296766099604,54.045356770565114,52.67692831628468,50.740970724081876,36.90791502265298,36.53819784406641,36.030237847043416,35.11795221085645,33.827313816054584,46.134893778316226,45.67274730508301,45.037797308804265,43.897440263570566,42.28414227006823,76,76,2739,566,1376,218,642,491,561,36,200,880,91,12,355,145,1841,ATLANTA HAWKS,348,734,236,36.03947368421053,2025
herroty01,Tyler Herro,25,SHOOTING GUARD,13.0,,,,0.4862119013062409,0.23730043541364296,,,,,,64.0,50,50,50,58.0,58.0,50,50,50,50,50,,,1247.0,1479.5,2189.75,2272.0,1454.0,,41.25907665733973,41.47009583670492,41.494525124081875,41.341733691678265,40.698943365839774,27.50605110489316,27.646730557803284,27.66301674938792,27.56115579445218,27.132628910559852,34.38256388111645,34.558413197254104,34.5787709367349,34.451444743065224,33.91578613819981,77,77,2725,651,1378,251,670,287,327,35,364,424,69,17,198,85,1840,MIAMI HEAT,400,708,399,35.38961038961039,2025
cunnica01,Cade Cunningham,23,POINT GUARD,1.0,,,,0.2868908716540837,0.2539464653397392,,,,,,100.0,50,50,50,22.0,62.0,50,50,50,50,50,,,,,2215.5,454.0,2486.0,,47.49108876982314,47.771861008217705,47.83468394691261,47.689748578318834,47.34885292314445,31.660725846548765,31.847907338811805,31.889789297941743,31.793165718879226,31.56590194876297,39.575907308185954,39.80988417351475,39.862236622427176,39.74145714859903,39.45737743595371,70,70,2452,684,1457,149,418,313,370,56,369,638,71,53,309,195,1830,DETROIT PISTONS,535,1039,425,35.02857142857143,2025
hardeja01,James Harden,35,POINT GUARD,3.0,,,,0.5158301158301158,0.4463320463320463,,,,,,94.0,50,50,50,66.0,94.0,50,50,50,50,50,3816.75,4583.0,3876.5,,,2692.0,2749.75,,44.36362520636796,39.7518600931297,35.17919890021786,30.75078272600188,26.55520143074076,29.575750137578645,26.50124006208647,23.45279926681191,20.500521817334587,17.70346762049384,36.969687671973304,33.12655007760809,29.315999083514885,25.625652271668233,22.1293345256173,79,79,2789,531,1295,235,668,505,578,55,401,687,118,55,341,162,1802,LOS ANGELES CLIPPERS,296,627,456,35.30379746835443,2025
