player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
robinda01,David Robinson,28,80,80,3241,840,1658,10,29,693,925,241,614,381,139,265,253,228,2383,SAN ANTONIO SPURS,CENTER,830,1629,855,40.5125,1994
onealsh01,Shaquille O'Neal,21,81,81,3224,953,1591,0,2,471,850,384,688,195,76,231,222,281,2377,ORLANDO MAGIC,CENTER,953,1589,1072,39.80246913580247,1994
olajuha01,Hakeem Olajuwon,31,80,80,3277,894,1694,8,19,388,542,229,726,287,128,297,271,289,2184,HOUSTON ROCKETS,CENTER,886,1675,955,40.9625,1994
malonka01,Karl Malone,30,82,82,3329,772,1552,8,32,511,736,235,705,328,125,126,234,268,2063,UTAH JAZZ,POWER FORWARD,764,1520,940,40.59756097560975,1994
ewingpa01,Patrick Ewing,31,79,79,2972,745,1503,4,14,445,582,219,666,179,90,217,260,275,1939,NEW YORK KNICKS,CENTER,741,1489,885,37.620253164556964,1994
richmmi01,Mitch Richmond,28,78,78,2897,635,1428,127,312,426,511,70,216,313,103,17,216,211,1823,SACRAMENTO KINGS,SHOOTING GUARD,508,1116,286,37.14102564102564,1994
sprewla01,Latrell Sprewell,23,82,82,3533,613,1417,141,391,353,456,80,321,385,180,76,226,158,1720,GOLDEN STATE WARRIORS,SHOOTING GUARD,472,1026,401,43.08536585365854,1994
ricegl01,Glen Rice,26,81,81,2999,663,1421,132,346,250,284,76,358,184,110,32,130,186,1708,MIAMI HEAT,SMALL FORWARD,531,1075,434,37.02469135802469,1994
robincl02,Clifford Robinson,27,82,64,2853,641,1404,13,53,352,460,164,386,159,118,111,169,263,1647,PORTLAND TRAIL BLAZERS,CENTER,628,1351,550,34.792682926829265,1994
pippesc01,Scottie Pippen,28,72,72,2759,627,1278,63,197,270,409,173,456,403,211,58,232,227,1587,CHICAGO BULLS,SMALL FORWARD,564,1081,629,38.31944444444444,1994
